School URN,School Name,Region,Local Authority,Phase of Education,School Type
148532,St Hild's Church of England School,North East,Hartlepool,Secondary,Academy sponsor led
148629,"St Joseph's Catholic Primary School, Coundon",North East,County Durham,Primary,Academy converter
148874,Langley Park Primary School,North East,County Durham,Primary,Academy converter
105913,Peel Hall Primary School,North West,Salford,Primary,Community school
106109,St Thomas' Church of England Primary School Stockport,North West,Stockport,Primary,Voluntary controlled school
119813,Baines School,North West,Lancashire,Secondary,Voluntary aided school
135508,Great Academy Ashton,North West,Tameside,Secondary,Academy sponsor led
136285,Seaton Academy,North West,Cumberland,Primary,Academy converter
136411,Birkenhead Park School,North West,Wirral,Secondary,Academy sponsor led
138698,Beis Yaakov High School,North West,Salford,Secondary,Academy converter
139953,Sir William Stanier School,North West,Cheshire East,Secondary,Academy sponsor led
140175,St Michael's Community Academy,North West,Cheshire East,Primary,Academy sponsor led
141033,Finch Woods Academy,North West,Knowsley,Special school,Academy special sponsor led
142469,Highfield Leadership Academy,North West,Blackpool,Secondary,Academy sponsor led
142798,The Prescot School,North West,Knowsley,Secondary,Academy converter
142856,West Craven High School,North West,Lancashire,Secondary,Academy converter
143794,Southlands High School,North West,Lancashire,Secondary,Academy converter
144508,Waterhead Academy,North West,Oldham,Secondary,Academy sponsor led
144519,Dean Trust Wigan,North West,Wigan,Secondary,Academy sponsor led
145314,Bolton St Catherine's Academy,North West,Bolton,Secondary,Academy converter
147018,The Valley Leadership Academy,North West,Lancashire,Secondary,Academy sponsor led
147592,"St Mary's Roman Catholic Primary School, a Voluntary Academy",North West,Lancashire,Primary,Academy sponsor led
147875,Newhouse Academy,North West,Rochdale,Secondary,Academy sponsor led
148026,"St Antony's Roman Catholic School, a Voluntary Academy",North West,Trafford,Secondary,Academy sponsor led
148226,Alsop High School,North West,Liverpool,Secondary,Academy sponsor led
148430,Rayner Stephens High School,North West,Tameside,Secondary,Academy sponsor led
148701,"St Margaret Mary Catholic Primary School, Carlisle",North West,Cumberland,Primary,Academy converter
148770,"St Josephs Catholic Primary School, Lancaster",North West,Lancashire,Primary,Academy sponsor led
148792,Dixons Broadgreen Academy,North West,Liverpool,Secondary,Academy sponsor led
148848,Littlemoor Primary School,North West,Oldham,Primary,Academy converter
149590,Arbour Academy,North West,Salford,Pupil referral unit,Academy alternative provision converter
114473,Bourne Primary School,South East,East Sussex,Primary,Community school
118193,"Oakfield Church of England Aided Primary School, Ryde",South East,Isle of Wight,Primary,Voluntary aided school
125958,Sheddingdean Community Primary School,South East,West Sussex,Primary,Community school
138437,Bridgemary School,South East,Hampshire,Secondary,Academy sponsor led
139434,Aylesbury UTC,South East,Buckinghamshire,Secondary,University technical college
143327,Beechwood School,South East,Slough,Secondary,Academy converter
144338,West Wycombe School,South East,Buckinghamshire,Primary,Academy sponsor led
