URN,OfstedURN,EstablishmentName,EstablishmentPostcode
513794,EX48,LITTLE OWLS PRE-SCHOOL,YO11 3BA
536983,EY453343,LITTLE PILGRIMS,MK41 7QZ
548028,366852,LITTLE ST JOSEPHS,IP2 9DR
519276,,LITTLE WELLIES NURSERY (WELLS CATHEDRAL SCHOOL),BA5 2ST
110162,110162,LONG CLOSE SCHOOL,SL3 7LU
125393,6315,LONGACRE SCHOOL,GU5 0NQ
122376,122376,LONGRIDGE TOWERS SCHOOL,TD15 2XQ
119014,,LORENDEN PREPARATORY SCHOOL,ME13 0EN
106387,584269,LORETO PREPARATORY SCHOOL,WA14 4GZ
103753,103753,LOTE TREE PRIMARY SCHOOL,CV6 5JQ
605741,2647844,LOTTIE'S NURSERIES LIMITED,DA15 9AE
115393,513231,LOYOLA PREPARATORY SCHOOL,IG9 5NH
512652,EY289937,LUCTON SCHOOL NURSERY,HR6 9PN
585217,131343,LYCEUM SCHOOL,EC2A 2DU
101370,101370,LYONSDOWN SCHOOL,EN5 1SA
134591,134591,MADANIYAH FOUNDATION,E7 8NN
535371,107794,MADNI MUSLIM GIRLS PRE-SCHOOL,WF12 9AY
665375,,MALVERN ST JAMES NURSERY,WR14 3BA
105592,EY518301,MANCHESTER HIGH SCHOOL FOR GIRLS,M14 6HS
511599,106003,MANCHESTER JUNIOR GIRLS SCHOOL,M7 4JA
105598,105598,MANCHESTER MUSLIM PREPARATORY SCHOOL,M20 4BA
126536,126536,MARANATHA CHRISTIAN SCHOOL,SN6 7SQ
550338,131978,MARIA MONTESSORI NURSERY (BAYSWATER),W2 4LA
590207,2026399,MARIA MONTESSORI SCHOOL  ABBEY ROAD,NW6 4SN
531426,131978,MARIA MONTESSORI SCHOOL - NOTTING HILL,W11 1JG
118942,,MARLBOROUGH HOUSE SCHOOL,TN18 4PY
605668,EY554987,MAYFAIR NURSERY,DA7 4TT
539245,,MAYVILLE NURSERY,PO5 2PE
512322,ISI,MEAD SCHOOL  THE,TN2 5SN
599014,EY438249,MEHRIA WONDERLAND,LU4 8JD
511990,116363,MEONCROSS SCHOOL KINDERGARTEN,PO14 2EF
101482,101482,MERTON COURT SCHOOL,DA14 4QU
594755,114625,MICHAEL HALL SCHOOL PARENT & CHILD AND KINDERGARTEN (0-6YRS),RH18 5JA
125357,6080,MICKLEFIELD SCHOOL,RH2 9DU
535327,EY317102,MILL COTTAGE MONTESSORI SCHOOL,HD6 4HA
517412,0,MILLFIELD PRE-PREPARATORY SCHOOL,BA6 8LD
110565,EY284818,MILTON KEYNES PREPARATORY SCHOOL,MK3 7EG
523188,SC008198,MONKTON PREP SCHOOL,BA2 7ET
105585,105585,MOOR ALLERTON PREPARATORY SCHOOL,M20 2AJ
123617,123617,MOOR PARK SCHOOL,SY8 4DZ
512079,,MOORFIELD SCHOOL LIMITED,LS29 8RL
510731,EY421831,MOORLAND NURSERY,BB7 2JA
121753,,MOORLAND WALDORF SCHOOL,YO21 2NJ
123604,123604,MORETON HALL SCHOOL,SY11 3EW
514781,999999,MOUNT JUNIOR SCHOOL (NURSERY CLASS),YO24 4DD
658230,113573,MOUNT KELLY PREPARATORY SCHOOL,PL19 9JL
122377,122377,MOWDEN HALL SCHOOL,NE43 7TP
516095,116559,MOYLES COURT SCHOOL NURSERY 116559,BH24 3NF
517551,,MYLNHURST SCHOOL AND NURSERY,S11 9HJ
101176,EY396015,NAIMA JEWISH PREPARATORY SCHOOL,NW6 5ED
133533,3026114,NANCY REUBEN PRIMARY SCHOOL,NW4 1DJ
599601,136112,NEW FOREST SMALL SCHOOL 136112,SO43 7BU
542390,115387,NEW HALL PREPARATORY SCHOOL,CM3 3HS
667479,ISI,NEW SCHOOL CANTERBURY LTD,CT4 5RU
110141,110141,NEWBOLD SCHOOL,RG42 4AH
104408,EY243461,NEWBRIDGE PREPARATORY SCHOOL,WV6 0LH
108538,,NEWCASTLE HIGH SCHOOL FOR GIRLS,NE2 4PG
517589,,NEWCASTLE PREPARATORY SCHOOL & NURSERY,NE2 4RH
535671,,NEWCASTLE SCHOOL FOR BOYS - NURSERY,NE3 4DT
102934,102934,NEWLAND HOUSE SCHOOL,TW1 4TQ
703790,101082,NEWTON PREPARATORY SCHOOL (PVI),SW8 4BX
613321,133517,NOOR UL ISLAM PRIMARY,E10 6QW
102165,EY296776,NORFOLK HOUSE SCHOOL,N10 2EG
103112,EY384680,NORMANHURST SCHOOL,E4 7BA
590335,135140,NORTH BRIDGE HOUSE - REGENT PARK,NW1 7AB
100068,,NORTH BRIDGE HOUSE NURSERY AND PRE-PREP SCHOOLS,NW2 3TL
135140,,NORTH BRIDGE HOUSE NURSERY AND PRE-PREP SCHOOLS,NW3 5JY
102169,102169,NORTH LONDON RUDOLF STEINER SCHOOL,N8 7PN
651763,EY500155,NORTH ROAD NURSERY,ST6 2BP
517582,0,NORTHAMPTON HIGH SCHOOL GDST,NN4 6UU
514113,ISI,NORTHBOURNE PARK PRE-PREP SCHOOL,CT14 0NJ
501303,121241,NORWICH HIGH SCHOOL - POLLIWIGGLE NURSERY,NR2 2HU
694891,6570,NOTRE DAME NURSERY,KT11 1HA
125447,121239,NOTRE DAME PREPARATORY SCHOOL,NR2 3TA
774241,122936,NOTTINGHAM GIRLS HIGH SCHOOL,NG1 4JB
511619,6068,NURSERY AT MANOR HOUSE SCHOOL,KT23 4EN
582689,EY332075,OAKFIELD PREPARATORY SCHOOL NURSERY,SE21 8HP
517689,102361,OAKFIELDS PREP SCHOOL,RM14 2YG
515250,EY312065,OAKHILL NURSERY AND EARLY YEARS,BB7 9AF
125372,6139,OAKHYRST GRANGE SCHOOL,CR3 6AF
510286,115419,OAKLANDS SCHOOL  LOUGHTON,IG10 4RA
585356,585356,OAKWOOD NURSERY,CR0 5RD
135539,135539,OAKWOOD PRIMARY SCHOOL,LU1 3RR
126104,999999,OAKWOOD SCHOOL,PO18 9AN
510526,935/6019,OLD BUCKENHAM HALL NURSERY SCHOOL,IP7 7PH
511121,6082,OLD PALACE OF JOHN WHITGIFT SCHOOL (NURSERY),CR2 7YN
511058,526636,OLDHAM HULME KINDERGARTEN (NURSERY),OL8 1RE
547418,547418,ORCHARD CLOSE - SIBFORD SCHOOL,OX15 5QL
101961,EY312933,ORCHARD HOUSE SCHOOL,W4 1LB
133596,EY350158,ORCHARD SCHOOL & NURSERY,MK45 4LT
609213,102248,ORLEY FARM SCHOOL PRE PREP,HA1 3NU
582863,124866,ORWELL PARK SCHOOL EDUCATIONAL TRUST LTD,IP10 0ER
514493,123613,OSWESTRY SCHOOL - BELLAN HOUSE,SY11 2ST
545063,EY539553,OSWESTRY SCHOOL PREPCARE NURSERY,SY11 2ST
517611,999999,OUR LADY OF SION NURSERY,BN11 1RE
511991,115424,OXFORD HOUSE,CO3 3NE
516579,ISA132048,OXFORD MONTESSORI NURSERY,OX2 8BD
512591,106004,OYY LUBAVITCH GIRLS SCHOOL,M7 4LH
583633,102061,PALMERS GREEN HIGH SCHOOL NURSERY,N21 3LJ
535338,132099,PARADISE PREP SCHOOL,WF12 9BB
102616,102616,PARK HILL SCHOOL,KT2 7SH
113617,EY295964,PARK SCHOOL,TQ9 6EQ
134010,EY134010,PARSONS GREEN PREP SCHOOL,SW6 4LJ
103747,103747,PATTISON COLLEGE,CV3 1FQ
137502,137502,PENINIM,NW11 9TB
126111,999999,PENNTHORPE SCHOOL,RH12 3HJ
521769,0,PERROTT HILL SCHOOL TRUST,TA18 7SL
123301,SC013044,PINEWOOD SCHOOL,SN6 8HZ
122932,122932,PLUMTREE SCHOOL,NG12 5ND
517277,113609,PLYMOUTH COLLEGE PREPARATORY SCHOOL KINDERGARTEN,PL4 6RN
109720,EY542689,POLAM SCHOOL,MK40 2BU
512581,SC042018,POLWHELE HOUSE NURSERY,TR4 9AE
514940,,PORTSMOUTH HIGH SCHOOL NURSERY,PO5 3ES
111481,,POWNALL HALL SCHOOL,SK9 5DW
567580,999999,PREBENDAL SCHOOL (THE),PO19 1RT
105118,EY377118,PRENTON PREPARATORY SCHOOL,CH43 5SY
123607,123607,PRESTFELDE SCHOOL,SY2 6NZ
105997,105997,PRESTWICH PREPARATORY SCHOOL,M25 1PZ
500090,EY240252,PRINCE'S GARDENS PREPARATORY SCHOOL,SW7 1ND
116552,538591,PRINCE'S MEAD SCHOOL,SO21 1AN
519052,EY289773,PRIORY POPPETS,B15 2UR
511580,EY313037,QUAINTON HALL SCHOOL & NURSERY,HA1 1RY
518412,EY554118,QUEENS COLLEGE,TA1 4QS
661508,134627,QUWWAT-UL-ISLAM GIRLS SCHOOL,E7 9NA
667671,ISI,RADNOR HOUSE SEVENOAKS SCHOOL - RHS (HOLDINGS) LTD,TN14 6AE
538174,EY356847,RAINBOW HILL NURSERY - DURHAM HIGH SCHOOL - FULL DAY CARE,DH1 3TB
621929,2551021,RAMILLIES HALL LTD: RAMILLIES HALL NURSERY,SK8 7AJ
524774,2609066,RAVENSCOURT PARK PREP SCHOOL,W6 0SL
670991,135219,RAWDHATUL ULOOM SCHOOL,BB10 1LU
601843,100547,RBKC SOUTH KENSINGTON PRIMARY SCHOOL,SW7 2DG
611798,139826,READ ACADEMY,IG1 3BD
121748,,READ SCHOOL,YO8 8NL
111767,,RED HOUSE SCHOOL,TS20 1DX
110137,EY495544,REDDAM HOUSE BERKSHIRE,RG41 5BG
551151,EY240850,REDDIFORD SCHOOL NURSERY,HA5 5HH
514934,6531,REIGATE ST MARY'S PREPARATORY SCHOOL,RH2 7RN
545712,6017,RENDCOMB COLLEGE JUNIOR SCHOOL NURSERY,GL7 7HA
113022,113022,REPTON PREPARATORY SCHOOL,DE65 6EJ
512582,,RGS - DODDERHILL DAYCARE,WR9 0BE
685632,121221,RIDDLESWORTH HALL NURSERY,IP22 2TA
580516,6307,RIPLEY COURT EDUCATIONAL TRUST LTD,GU23 6NE
550189,100303,RIVER HOUSE MONTESSORI DAY NURSERY,E14 9XP
667524,147083,RIVER MILL PRIMARY SCHOOL,DA1 5XR
581958,116513,ROOKWOOD SCHOOL NURSERY UNIT,SP10 3AL
118951,,ROSE HILL SCHOOL,TN4 9SY
550049,139331,ROSE HOUSE MONTESSORI SCHOOL,SE23 2UJ
132791,132791,ROSEMARY WORKS SCHOOL,N1 5PH
518499,2596488,ROSSALL NURSERY,FY7 8JW
694808,6031,ROWAN PREPARATORY SCHOOL THE BRAE,KT10 0PJ
609418,2698714,ROXETH MEAD SCHOOL AND NURSERY,HA2 0HW
109348,EY340483,ROYAL HIGH SCHOOL GDST,BA1 5SZ
101835,511154,ROYAL RUSSELL SCHOOL,CR9 5BX
520414,0,RUCKLEIGH SCHOOL NURSERY,B91 2AB
518432,6049,RYDES HILL PREPARATORY AND NURSERY SCHOOL,GU2 8BP
123295,SC013046,RYE ST ANTONY,OX3 0BY
513539,,SACRED HEART SCHOOL NURSERY,TN5 6DQ
124868,EY317398,SAINT FELIX SCHOOL,IP18 6SD
115408,EY370606,SAINT PIERRE SCHOOL,SS9 1LE
543857,ISI,SAINT RONAN'S SCHOOL,TN18 5DJ
102063,102063,SALCOMBE PREPARATORY SCHOOL,N14 4AD
126518,513223,SALISBURY CATHEDRAL SCHOOL,SP1 2EQ
122938,EY431223,SALTERFORD HOUSE SCHOOL,NG14 6NZ
510079,ISI,SANDCASTLES NURSERY - ST FAITH'S AT ASH SCHOOL LTD,CT3 2HH
697990,2680407,SEASONS NURSERY (ALDINGBOURNE),PO18 0JP
103019,EY240580,SEATON HOUSE SCHOOL,SM2 5LH
567538,999999,SECRET GARDEN (THE),RH17 6HF
140479,140479,SERAPHIC ACADEMY,S9 5DL
521743,EY310206,SHEBBEAR COLLEGE KINDERGARTEN,EX21 5HJ
522527,2542978,SHERBORNE HOUSE SCHOOL LIMITED,SO53 1EU
511074,,SHERBORNE PRE-PREPARATORY PRE-SCHOOL,DT9 3NY
564710,EY297342,SHERRARDSWOOD NURSERY,AL6 0BJ
126112,999999,SHOREHAM COLLEGE,BN43 6YW
147700,147700,SHOSHANIM,NE8 4DY
524638,6161,SHREWSBURY HOUSE PRE-PREPARATORY SCHOOL,KT10 9EA
109362,109362,SIDCOT SCHOOL,BS25 1PD
585366,133439,SIDE BY SIDE,N16 0QJ
514937,,SILCOATES PRE-SCHOOL,WF2 0PD
581621,EY100374,SINCLAIR HOUSE SCHOOL,SW6 6DA
520148,,SKIPPERS HILL MANOR PREPARATORY SCHOOL KINDERGARTEN,TN20 6HR
512314,102871,SNARESBROOK PREPARATORY SCHOOL,E18 2EA
104124,,SOLIHULL SCHOOL,B91 3DJ
515756,ISI,SOMERHILL PRE-PREPARATORY SCHOOL,TN11 0NJ
126121,999999,SOMPTING ABBOTTS SCHOOL,BN15 0AZ
510361,263216,SOUTH LEE PREPARATORY SCHOOL NURSERY,IP33 2BT
118992,,SPRING GROVE SCHOOL,TN25 5EZ
511167,,SPRINGFIELD DAY CARE,WR1 3DL
547702,0,SPRINGMEAD SCHOOL,BA11 6TA
106381,622395,ST AMBROSE PREP SCHOOL,WA15 0HF
512890,6109,ST ANDREW'S (WOKING) SCHOOL TRUST,GU21 4QW
510734,2598928,ST ANDREW'S PREP NURSERY,BN20 7RP
511271,118985,ST ANDREW'S PRE-SCHOOL,ME1 3BJ
520097,119819,ST ANNES COLLEGE KINDERGARTEN & JUNIOR SCHOOL,FY8 1HN
511171,115388,ST ANNES PREPARATORY SCHOOL,CM2 0AW
524572,113002,ST ANSELMS (EY),DE45 1DP
143037,143037,ST ANTHONY'S SCHOOL FOR GIRLS,NW11 7SX
524741,315326,ST BEDE'S COLLEGE PREPARATORY SCHOOL,M16 8HX
512888,6004,ST CATHERINE'S PREPARATORY SCHOOL,GU5 0DF
524840,101687,ST CHRISTOPHERS HALL SCHOOL,BR3 5PA
113629,EY256325,ST CHRISTOPHER'S SCHOOL,TQ9 6PF
125331,6028,ST CHRISTOPHER'S SCHOOL,KT18 5HE
649197,120326,ST CRISPINS SCHOOL,LE2 1XA
606347,101690,ST DAVIDS PREP - EARLY YEARS,BR4 0QS
513606,101839,ST DAVID'S SCHOOL NURSERY,CR8 3AL
598141,144248,ST EDMUND CAMPION CATHOLIC NURSERY,SL6 4PX
520585,N/A,ST EDMUND'S PREP,SG11 1DS
521027,ISI,ST EDMUND''S PRE-PREP AND NURSERY,CT2 8HU
518774,6053,ST EDMUNDS SCHOOL,GU26 6BH
520226,EY309807,ST EDWARDS KINDERGARTEN,GL52 6NR
654819,110114,ST EDWARDS PREP,RG30 2JH
125443,6566,ST GEORGE'S JUNIOR SCHOOL,KT13 8NL
599441,137327,ST GEORGE'S PREPARATORY SCHOOL LIMITED T/A ST GEORGE'S PREP & LITTLE DRAGONS NURSERY,PE21 7HB
614143,,ST GEORGES SCHOOL NURSERY,B15 1RX
131567,131567,ST HELENS MONTESSORI SCHOOL,ME15 0JT
512308,6042,ST HILARY'S NURSERY,GU7 1RZ
682618,N/A,ST HILDA'S SCHOOL (HARPENDEN),AL5 2ES
521632,ISI Inspe,ST HUGHS NURSERY WOODHALL SPA,LN10 6TQ
531271,2577102,ST JAMES PREP SCHOOL,W14 8SH
519888,6422,ST JOHN'S BEAUMONT PREPARATORY SCHOOL,SL4 2JN
510282,113583,ST JOHN'S INTERNATIONAL SCHOOL,EX10 8RG
123279,123279,ST JOHN'S PRIORY SCHOOL,OX16 5HX
523956,115399,ST JOHNS SCHOOL,CM12 0AR
500107,EY101174,ST JOHN'S WOOD PRE PREPARATORY SCHOOL,NW8 7NE
518342,136460,ST JOSEPH'S COLLEGE (PREPARATORY SCHOOL),ST4 5NT
530290,110111,ST JOSEPH'S COLLEGE PREPARATORY SCHOOL,RG1 5JT
119832,544480,ST JOSEPH'S PARK HILL SCHOOL,BB12 6TG
115416,582503,ST MARGARET'S PREPARATORY SCHOOL,SN11 0DF
682742,N/A,ST MARGARET'S SCHOOL BUSHEY,WD23 1DT
632616,,ST MARTINS PRE PREPARATORY,DN34 4SY
113940,113940,ST MARTIN'S SCHOOL,BH3 7NA
671366,544284,ST MARYS HALL SCHOOL,BB7 9PU
518290,118579,ST MARY'S HARE PARK SCHOOL AND NURSERY,RM2 6HH
656163,110912,ST MARY'S PRE-SCHOOL CAMBRIDGE,CB2 1LY
760692,115394,ST MARYS SCHOOL,CO3 8LT
510164,123280,ST MARY'S SCHOOL (HENLEY),RG9 1HS
610504,138771,ST MICHAEL STEINER SCHOOL,TW13 6PN
511129,116516,ST NEOT'S SCHOOL NURSERY - 116516,RG27 0PN
660665,115417,ST NICHOLAS SCHOOL (HARLOW) LIMITED,CM17 0NJ
599622,116518,ST NICHOLAS SCHOOL 116518,GU52 0RF
512886,113016,ST PETER & ST PAUL SCHOOL (EY),S41 0EF
514784,999999,ST PETER'S 2-8,YO30 6AB
113587,EY296473,ST PETER'S SCHOOL,EX8 5AU
119822,512027,ST PIUS X PREPARATORY SCHOOL,PR2 8RD
743505,116534,ST SWITHUN'S SCHOOL 116534 - WINCHESTER,SO21 1HA
514116,123614,ST WINEFRIDES RC INDEPENDENT SCHOOL,SY1 1TE
514483,830112,ST WYSTAN'S SCHOOL NURSERY,DE65 6GE
511160,EY392025,ST. DOMINIC'S PRIORY SCHOOL  182,ST15 8ER
516309,EY305167,ST. DOMINIC'S SCHOOL   183,ST19 9BA
515544,EY307180,ST. GEORGES PRE SCHOOL PLAYGROUP,SK2 6NX
582887,102065,ST. JOHNS PREPARATORY  SCHOOL,EN6 5QT
513227,EY291296,ST. PIRAN'S SCHOOL,SL6 7LZ
125414,6510,STAINES PREPARATORY SCHOOL,TW18 2BT
513238,ISI Inspe,STAMFORD NURSERY SCHOOL,PE9 2LR
135596,,STANBOROUGH PRIMARY SCHOOL,WD25 0DQ
118965,,STEEPHILL SCHOOL,DA3 7BG
518714,EY106154,STELLA MARIS  INDEPENDENT,SK4 3BR
549731,EY448901,STEPPING STONES NURSERY SCHOOL,W12 9BY
106156,EY517918,STOCKPORT GRAMMAR SCHOOL,SK2 7AF
540229,540229,STONAR NURSERY SCHOOL,SN12 8NT
113579,EY256327,STOVER SCHOOL,TQ12 6QG
125791,EY409397,STRATFORD PREPARATORY SCHOOL,CV37 6BG
520101,100648,STREATHAM & CLAPHAM HIGH SCHOOL JUNIOR DEPT,SW2 3SR
512085,116528,STROUD SCHOOL NURSERY UNIT 116528,SO51 9ZH
551372,134243,SUFFAH SCHOOL (INDEPENDENT) ADMIN RECORD,TW4 5HU
521626,,SUNNINGHILL PREP SCHOOL FOUNDATION STAGE UNIT,DT1 1EB
530288,0,SUNNY HILL NURSERY,BA10 0NT
709041,2640691,SUNRISE PRESCHOOL,N17 0EX
584732,102611,SURBITON HIGH SCHOOL FOR GIRLS,KT6 4SP
519634,103022,SUTTON HIGH SCHOOL,SM1 2AX
580556,ISI,SUTTON VALENCE PREP SCHOOL,ME17 3RF
113945,,TALBOT HEATH SCHOOL,BH4 9NJ
594603,,TALBOT HOUSE PREPARATORY SCHOOL,BH9 2LR
531230,131170,TALMUD TORAH BEIS AHARON,N16 5ED
105993,105993,TALMUD TORAH CHINUCH NORIM SCHOOL,M7 2AU
531238,100294,TALMUD TORAH MACHZIKEI HADASS,E5 9SN
590702,131121,TALMUD TORAH TIFERES SHLOMOH,NW4 2NB
131435,131435,TALMUD TORAH YETEV LEV,M7 2BT
137273,137273,TARBIYYAH PRIMARY SCHOOL,TW5 0LJ
628078,147313,TASHBAR,NE8 1RB
532066,130826,TASHBAR OF EDGWARE SCHOOL,HA8 8JL
106002,106002,TASHBAR OF MANCHESTER,M7 4HL
514533,EY310094,TAUNTON SCHOOL PRE-PREP & NURSERY,TA2 6AE
617345,104735,TEDDY'S NURSERY @ ROYAL SCHOOL FOR THE BLIND,L15 6TQ
515551,,TEESSIDE HIGH,TS16 9AT
121732,,TERRINGTON HALL SCHOOL,YO60 6PR
512309,,THE  PORTSMOUTH  GRAMMAR SCHOOL  NURSERY,PO1 2LN
539222,,THE  PORTSMOUTH GRAMMAR SCHOOL  RECEPTION CLASS,PO1 2LN
511056,955529,THE ABBEY SCHOOL,RG2 7AR
104729,104729,THE BELVEDERE PREPARATORY SCHOOL,L8 3TF
519718,,THE BLUE COAT SCHOOL,B17 0HR
107795,107795,THE BRANCH CHRISTIAN SCHOOL,WF13 4LA
538527,114661,THE BRIGHTON WALDORF SCHOOL,BN2 5RA
100066,EY240582,THE CAVENDISH SCHOOL,NW1 7HB
534514,105587,THE CHADDERTON PREPARATORY GRAMMAR (NURSERY CLASS),OL9 0AD
601866,,THE CHELSEA NURSERY,SW3 6AG
599808,133964,THE CHILDREN'S HSE (GRANTHAM FARM MONT) 133964,RG26 5JS
694502,7069,THE CHILDREN'S TRUST SCHOOL,KT20 5RU
511114,EY304910,THE CROFT NURSERY,CV37 7RL
511100,511100,THE DAIGLEN SCHOOL,IG9 5LG
135995,135995,THE DEENWAY MONTESSORI SCHOOL,RG1 4QX
523080,523080,THE DOWNS SCHOOL,BS48 1PF
537470,EY434603,THE ELMS NURSERY,NG10 4AD
117003,117003,THE ELMS SCHOOL,WR13 6EF
513243,529111,THE FROEBELIAN SCHOOL (NURSERY),LS18 4LB
599482,136000,THE GATESHEAD CHEDER,NE8 3HY
102945,102945,THE GERMAN SCHOOL,TW10 7AH
515270,EY245519,THE GLEDDINGS PREPARATORY SCHOOL,HX3 0JB
519143,,THE GRANGE DAYCARE,WR3 7RR
581478,EY315156,THE GRANGE JUNIOR SCHOOL,CW8 3AU
511043,116569,THE GREGG PRESCHOOL,SO17 1EJ
101163,,THE HAMPSHIRE SCHOOL CHELSEA,SW3 6NB
125355,6076,THE HAWTHORNS SCHOOL,RH1 4QJ
741125,144804,THE INDEPENDENT GRAMMAR SCHOOL DURHAM,DH1 1RH
514111,6231,THE IVIES,GU27 2ES
615726,148564,THE KING ALFRED SCHOOL NURSERY,DY3 2AU
654022,138768,THE KING''S HOUSE SCHOOL  WINDSOR,SL4 3AQ
111473,584730,THE KING'S SCHOOL,SK10 1DA
117650,,THE KING'S SCHOOL,AL5 4DU
123315,123315,THE KING'S SCHOOL,OX29 6TA
599814,116595,THE KING'S SCHOOL - EASTLEIGH 116595,SO50 7DB
125775,243276,THE KINGSLEY SCHOOL,CV32 5RD
533590,134091,THE LAMBS CHRISTIAN SCHOOL,B19 1AY
639642,2532842,THE LITTLE LEARNERS NURSERY,BH24 2PJ
102933,102933,THE MALL SCHOOL,TW2 5NQ
123308,EY291462,THE MANOR PREPARATORY SCHOOL,OX13 6LN
110152,EY398794,THE MARIST SCHOOL,SL5 7PS
548188,135689,THE MEADOWS MONTESSORI,IP1 6AR
136947,EY428014,THE MONTESSORI PLACE,BN3 3ER
641803,1264592,THE MONTESSORI PLACE NURSERY,TN22 5RE
107787,107787,THE MOUNT SCHOOL,HD2 2AP
113624,113624,THE NEW SCHOOL,EX6 8AT
147986,147986,THE NEW SCHOOL,SE19 1RT
123609,,THE OLD HALL SCHOOL,TF1 3LB
513530,251779,THE OLD SCHOOL  HENSTEAD,NR34 7LG
102935,102935,THE OLD VICARAGE SCHOOL,TW10 6QX
514486,SC013041,THE ORATORY PREPARATORY SCHOOL,RG8 7SF
511514,,THE PARAGON SCHOOL  JUNIOR SCHOOL OF PRIOR PARK COLLEGE,BA2 4LT
512316,,THE PARK SCHOOL,BH8 9BJ
110910,110910,THE PETERBOROUGH SCHOOL,PE3 6AP
605731,2623930,THE PICKFORD NURSERY,DA7 4RW
100198,100198,THE POINTER SCHOOL,SE3 7TH
530305,EY315297,THE QUEENS LOWER SCHOOL,CH2 1AW
512297,6039,THE RICHARD PATE SCHOOL NURSERY,GL53 9RP
518419,117041,THE RIVER SCHOOL EARLY YEARS,WR3 7ST
695200,2662814,THE ROYAL SCHOOL PREP SCHOOL DAYCARE,GU26 6BW
516023,,THE SHRUBBERY SCHOOL,B76 1HY
102617,102617,THE STUDY SCHOOL,KT3 5DP
531427,131778,THE TABERNACLE,W11 4RS
531256,EY419251,THE TODDLE INN CRECHE,N16 5LG
582093,102874,THE URSULINE PREPARATORY SCHOOL ILFORD,IG1 4QR
590225,100077,THE VILLAGE PREP SCHOOL,NW3 2YN
110567,2560795,THE WEBBER INDEPENDENT SCHOOL,MK14 6DP
607896,101573,THE WELSH SCHOOL LONDON,W7 1PD
511342,100651,THE WHITEHOUSE PREP & WOODENTOPS KINDERGARTEN,SW12 0LF
546694,121245,THETFORD GRAMMAR SCHOOL - INDEPENDENT SCHOOL,IP24 3AF
549752,2056402,THOMAS’S LONDON DAY SCHOOL,BH24 1AP
531429,100534,THOMAS'S PREPARATORY SCHOOL,W8 5RJ
599641,116590,THORNGROVE SCHOOL NURSERY 116590,RG20 9PS
115402,EY371300,THORPE HALL SCHOOL,SS1 3RD
136143,136143,TIFERES,M7 2JR
532038,EY471770,TORAH VODAAS EARLY YEARS CENTRE,NW9 7AL
136503,136503,TORAS EMES,M7 4PH
149063,149063,TORAS MOSHE,M7 2AX
535983,EY297338,TORWOOD HOUSE NURSERY SCHOOL,BS6 6XE
500947,121237,TOWN CLOSE PREP SCHOOL,NR2 2LR
682644,N/A,TREETOPS PRE-SCHOOL AT DUNCOMBE SCHOOL,SG14 3JA
106276,106276,TRINITY SCHOOL,SK15 1SH
519637,EY287969,TRINITY SCHOOL  TEIGNMOUTH,TQ14 8LY
515794,SC042022,TRURO HIGH SCHOOL NURSERY,TR1 2HU
513537,SC041129,TRURO PREPARATORY SCHOOL PRE-PREP,TR1 3QN
138101,138101,TTD GUR SCHOOL,N16 6UX
102943,102943,TWICKENHAM PREPARATORY SCHOOL,TW12 2SA
116536,116536,TWYFORD SCHOOL,SO21 1NW
524421,100299,TYY SCHOOL,N16 5PZ
102944,102944,UNICORN SCHOOL,TW9 3JX
148190,148190,UNIQUE ACADEMY,TW5 9WA
515191,ISI Inspe,UNITED CHURCH SCHOOLS TRUST T/A LINCOLN MINSTER SCHOOL,LN2 1PH
110130,EY291107,UPTON HOUSE SCHOOL,SL4 3DF
102686,102686,URSULINE PREPARATORY SCHOOL,SW20 8HR
115428,115428,URSULINE PREPARATORY SCHOOL,CM13 3HR
518678,,VINEHALL SCHOOL NURSERY,TN32 5JL
605717,2564847,VIOLET DAYCARE LTD,DA8 1SH
138516,138516,VISHNITZ GIRLS SCHOOL,N16 0QY
524199,102064,VITA ET PAX PREPARATORY  SCHOOL,N14 4AT
511153,245424,WAKEFIELD GRAMMAR PRE PREPARATORY SCHOOL,WF1 2DG
520959,108307,WAKEFIELD INDEPENDENT SCHOOL,WF4 1QG
599610,116525,WALHAMPTON SCHOOL PRE-PREP DEPARTMENT 850/6028,SO41 5ZG
537400,EY349307,WALTON PRE PREPARATORY SCHOOL,MK7 6BB
511127,6552,WARLINGHAM PARK NURSERY,CR6 9PB
125780,243443,WARWICK PREPARATORY SCHOOL,CV34 6PL
737877,144806,WATCHORN CHRISTIAN SCHOOL (EY),DE55 7AQ
515256,EY430947,WAVERLEY SCHOOL AND NURSERY,RG40 4YD
667463,ISI,WELLESLEY HOUSE SCHOOL,CT10 2DG
123930,0,WELLINGTON SCHOOL,TA21 8NT
122931,122931,WELLOW HOUSE SCHOOL,NG22 0EA
510728,113606,WEST BUCKLAND PREPARATORY SCHOOL,EX32 0SX
599679,116551,WEST HILL PARK INDEPENDENT SCHOOL,PO14 4BS
516060,EY288576,WEST HOUSE NURSERY,B15 2NX
532080,EY334865,WEST LODGE PREPARATORY SCHOOL,DA15 7DU
513519,999999,WESTBOURNE HOUSE PRE-PREP SCHOOL,PO20 2BH
107162,,WESTBOURNE SCHOOL,S10 2QT
102618,102618,WESTBURY HOUSE SCHOOL,KT3 5AS
108542,,WESTFIELD SCHOOL,NE3 4HS
125437,6556,WESTON GREEN PREPARATORY SCHOOL,KT7 0JN
