URN,OfstedURN,EstablishmentName,EstablishmentPostcode
136015,,BNOS ZION OF BOBOV,N16 6TJ
521401,999999,BOOTHAM JUNIOR SCHOOL,YO30 6NP
523841,116558,BOUNDARY OAK SCHOOL 116558,PO17 5BL
512307,,BOWBROOK HOUSE SCHOOL NURSERY,WR10 2EE
521165,EY421480,BRABYNS SCHOOL,SK6 7DB
121757,EY305335,BRACKENFIELD SCHOOL,HG1 2HE
107461,,BRADFORD CHRISTIAN SCHOOL,BD2 1BT
115386,514123,BRAESIDE SCHOOL,IG9 5SD
126150,999999,BRAMBLETYE SCHOOL,RH19 3PD
548102,EY406728,BRANDESTON HALL SCHOOL,IP13 7AH
105991,105991,BRANWOOD PREPARATORY SCHOOL,M30 9HN
513784,101684,BREASIDE PREPARATORY,BR1 2PR
582432,105912,BRIDGEWATER INDEPENDENT SCHOOL NURSERY,M28 2WQ
511498,6519,BRIGHT STARS AT CRANMORE PREPARATORY SCHOOL,KT24 6AT
521735,133348,BRIGHTON & HOVE MONTESSORI,BN1 6FB
514932,6019,BRIGHTON COLLEGE NURSERY & PRE PREP SCHOOL,BN2 5JJ
635283,2712013,BRIGHTSTARS DAY CARE,MK42 7BS
109345,109345,BRISTOL STEINER SCHOOL,BS6 6UX
605058,140236,BROADFIELDS PRIMARY SCHOOL,HA8 8JP
110127,110127,BROCKHURST AND MARLSTON HOUSE SCHOOLS,RG18 9UL
510107,,BROMSGROVE PRE-PREP & NURSERY SCHOOL,B60 4JS
511054,529205,BRONTE HOUSE SCHOOL (NURSERY),BD10 0PQ
582357,ISI,BRONTE SCHOOL - BRONTE SCHOOL & NURSERY LTD,DA11 0HN
539751,EY414638,BROOKE PRIORY NURSERY,LE15 6QW
518026,999999,BROOKHAM SCHOOL (PRE-PREP),GU30 7LQ
514044,251427,BROOKSIDE PRE-SCHOOL,IP2 9LQ
102938,102938,BROOMFIELD HOUSE SCHOOL,TW9 3HS
136153,EY254264,BROUGHTON MANOR PREPARATORY SCHOOL,MK10 9AA
584320,118979,BRYONY SCHOOL NURSERY CLASS,ME8 0AJ
586637,EY352478,BUCKINGHAM COLLEGE NURSERY,HA5 5DT
551149,EY240834,BUCKINGHAM PREPARATORY SCHOOL (N),HA5 5DT
517612,EY392559,BURGESS HILL NURSERY,RH15 0EG
683793,139235,BURTON HATHOW PREPARATORY SCHOOL LIMITED,LN1 2BB
105369,105369,BURY CATHOLIC PREPARATORY SCHOOL,BL9 9BH
603431,138564,BUTTERCUP NURSERY AND PRIMARY,E1 2LX
582964,6090,CALVI HOUSE PRE-PREP (FELTONFLEET SCHOOL),KT11 1DR
656048,656048,CAMBRIDGE INTERNATIONAL SCHOOL OAKS NURSERY,CB1 8DW
519505,131937,CAMBRIDGE STEINER SCHOOL KINDERGARTEN,CB21 5DZ
104723,222222,CARLETON HOUSE PREPARATORY SCHOOL,L18 3EE
517889,2654093,CASTLE HOUSE SCHOOL NURSERY & PRE-SCHOOL,TF10 7JE
540649,110177,CAVERSHAM PREP SCHOOL,RG4 8JZ
540220,540220,CHAFYN GROVE PRE-SCHOOL,SP1 1LR
584156,EY394338,CHANDLINGS,OX1 5ND
123927,,CHARD SCHOOL,TA20 1QA
582190,118977,CHARTFIELD PRIVATE SCHOOL,CT8 8DA
517437,291556,CHASE GRAMMAR SCHOOL   031,WS11 0UR
510553,EY291560,CHATSWORTH SCHOOLS (HIGHFIELD PREPARATORY) LTD,SL6 1PD
592554,EY501451,CHEADLE HULME JUNIOR SCHOOL,SK8 6EF
743383,116520,CHEAM SCHOOL 116520,RG19 8LD
513789,6033,CHELTENHAM COLLEGE PREPARATORY SCHOOL (PRE-PREP) - NUIS,GL53 7AB
692363,935/6065,CHERRY TREES MONTESSORI AT BROOKES,IP28 6QJ
512293,6347,CHINTHURST SCHOOL NURSERY,KT20 5QZ
512071,102547,CHISWICK & BEDFORD PARK PREP SCHOOL,W4 1TX
550987,EY404789,CHISWICK & BEDFORD PARK PREPARATORY SCHOOL NURSERY,W4 1DR
661492,3164003,CHOBHAM ACADEMY,E20 1BD
123287,SC013030,CHRIST CHURCH CATHEDRAL SCHOOL,OX1 1QW
743397,116579,CHURCHERS COLLEGE NURSERY (NURSERY UNIT OF IND. SCHOOL) - 116579,GU31 4AS
582607,EY290855,CLAIRES COURT JUNIOR BOYS,SL6 3QE
582609,EY297370,CLAIRES COURT NURSERY,SL6 6AW
517413,6032,CLAREMONT FAN COURT PRE-PREPARATORY AND NURSERY,KT10 9LY
512305,1159395,CLAREMONT NURSERY (PRE-PREP),TN37 7PW
510090,106001,CLARENDON COTTAGE SCHOOL,M30 9BJ
109339,109339,CLEVE HOUSE SCHOOL,BS4 2PN
523889,523889,CLEVELANDS PREPARATORY SCHOOL,BL1 5DH
109335,109335,CLIFTON HIGH SCHOOL,BS8 3JD
598805,6438,COACH HOUSE NURSERY COPTHORNE PREPARATORY SCHOOL,RH10 3HR
510283,115409,COLCHESTER HIGH SCHOOL NURSERY,CO3 3HD
109336,109336,COLLEGIATE SCHOOL BRISTOL,BS16 1BA
103017,999994,COLLINGWOOD SCHOOL,SM6 0BD
563178,135366,COLSTON BASSETT PREPARATORY SCHOOL,NG12 3FD
511073,EY291470,CONIFERS SCHOOL EARLY YEARS DEPARTMENT,GU29 9BG
115435,EY397364,COOPERSALE HALL SCHOOL,CM16 7PE
511148,,COPTHILL NURSERY & PREP SCHOOL,PE9 3AD
511993,6543,COWORTH-FLEXLANDS SCHOOL,GU24 8TE
125772,EY307903,CRACKLEY HALL SCHOOL,CV8 2FT
123303,123303,CRANFORD HOUSE SCHOOL TRUST LIMITED,OX10 9HT
111483,,CRANSLEY SCHOOL,CW9 6HN
548928,EY298293,CRESCENT SCHOOL NURSERY,CV22 7QH
126533,652482,CRICKLADE MANOR PREP,SN6 6BB
605735,2634940,CROFT DAY NURSERY BEXLEYHEATH,DA6 8LQ
