URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code)
100024,202,Camden,2604,Torriano Infant School,1,Community school,4,Local authority maintained schools,2,Closed,0,Not applicable,,1,Result of Amalgamation/Merger,11-09-2015,2,Primary,3,7,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,190,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,Torriano Avenue,,,London,,NW5 2SJ,http://www.torrianoinf.camden.sch.uk/,,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000139,Kentish Town,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,529559,185072,,Camden 009,Camden 009E,,,,,,999,,,,North-West London and South-Central England,,5090649,,0,Not applicable,0,Not applicable,,,E02000174,E01000926
100025,202,Camden,2775,Gospel Oak Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,472,2,No Special Classes,16-01-2020,467,232,235,28.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10078058,,Not applicable,28-01-2016,0,Not applicable,07-05-2021,Mansfield Road,,,London,,NW3 2JB,www.gospeloak.camden.sch.uk,2074857435,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528230,185638,,Camden 006,Camden 006A,,,,,,999,,,Outstanding,North-West London and South-Central England,,5090676,,0,Not applicable,0,Not applicable,,,E02000171,E01000886
100026,202,Camden,2797,Fitzjohn's Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,210,2,No Special Classes,16-01-2020,231,109,122,5.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10079731,,Not applicable,04-12-2018,0,Not applicable,31-03-2021,86A Fitzjohn's Avenue,,,London,,NW3 6NP,http://www.fitzjohns.camden.sch.uk/,2074359797,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000135,Hampstead Town,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,526566,185411,,Camden 008,Camden 008D,,,,,,999,,,Good,North-West London and South-Central England,,5076981,,0,Not applicable,0,Not applicable,,,E02000173,E01000897
100027,202,Camden,2841,Eleanor Palmer Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,236,2,No Special Classes,16-01-2020,235,102,133,8.9,0,Not applicable,,,Not applicable,,Not under a federation,,,10078057,,Not applicable,19-10-2011,0,Not applicable,11-05-2021,Lupton Street,Tufnell Park,,London,,NW5 2JA,http://www.eleanorpalmer.camden.sch.uk/,2074852155,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000139,Kentish Town,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,529117,185613,,Camden 003,Camden 003C,,,,,,999,,,Outstanding,North-West London and South-Central England,,5090678,,0,Not applicable,0,Not applicable,,,E02000168,E01000921
100028,202,Camden,3323,"Christ Church Primary School, Hampstead",2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,196,2,No Special Classes,16-01-2020,190,100,90,2.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10074742,,Not applicable,30-04-2009,0,Not applicable,11-05-2021,Christ Church Hill,,,London,,NW3 1JH,http://www.christchurchschool.co.uk/,2074351361,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000135,Hampstead Town,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,526518,186095,,Camden 002,Camden 002E,,,,,,999,,,Outstanding,North-West London and South-Central England,,5090616,,0,Not applicable,0,Not applicable,,,E02000167,E01000899
100029,202,Camden,3327,Christ Church School,2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,210,2,No Special Classes,16-01-2020,210,106,104,35.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10079318,,Not applicable,24-01-2017,0,Not applicable,03-02-2021,Redhill Street,Camden,,London,,NW1 4BD,http://www.cchurchnw1.camden.sch.uk,2073877881,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000142,Regent's Park,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528821,182991,,Camden 023,Camden 023C,,,,,,999,,,Good,North-West London and South-Central England,,5090641,,0,Not applicable,0,Not applicable,,,E02000188,E01000949
100030,202,Camden,3340,Emmanuel Church of England Primary School,2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,236,2,No Special Classes,16-01-2020,236,119,117,8.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10079317,,Not applicable,16-01-2019,0,Not applicable,21-04-2021,152-158 Mill Lane,West Hampstead,,London,,NW6 1TF,http://www.emmanuel.camden.sch.uk/,2074317984,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000145,West Hampstead,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,525336,185264,,Camden 010,Camden 010B,,,,,,999,,,Good,North-West London and South-Central England,,5167368,,0,Not applicable,0,Not applicable,,,E02000175,E01000970
100031,202,Camden,3352,Hampstead Parochial Church of England Primary School,2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,240,2,No Special Classes,16-01-2020,233,109,124,7.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10074741,,Not applicable,18-06-2019,0,Not applicable,14-05-2021,"Hampstead Parochial School , Holly Bush Vale",Hampstead,,London,,NW3 6TX,http://www.hampsteadprim.camden.sch.uk/,2074354135,,,,,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000133,Frognal and Fitzjohns,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,526301,185733,,Camden 004,Camden 004B,,,,,,999,,,Good,North-West London and South-Central England,,5109927,,0,Not applicable,0,Not applicable,,,E02000169,E01000879
100032,202,Camden,3359,"Holy Trinity CofE Primary School, NW3",2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,189,2,No Special Classes,16-01-2020,182,87,95,41.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10074740,,Not applicable,20-03-2018,0,Not applicable,25-03-2021,Trinity Walk,Maresfield Gardens,,London,,NW3 5SQ,www.holytrinitynw3.co.uk,2074359089,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,H,London,E09000007,Camden,E05000133,Frognal and Fitzjohns,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,526445,184601,,Camden 008,Camden 008C,,,,,,999,,,Good,North-West London and South-Central England,,5090704,,0,Not applicable,0,Not applicable,,,E02000173,E01000883
100033,202,Camden,3361,"Holy Trinity and Saint Silas CofE Primary School, NW1",2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,210,2,No Special Classes,16-01-2020,209,100,109,22,0,Not applicable,,,Not applicable,,Not under a federation,,,10074739,,Not applicable,14-03-2007,0,Not applicable,06-05-2021,Hartland Road,,,London,,NW1 8DE,http://www.holytrinitynw1.camden.sch.uk/,2072670771,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,H,London,E09000007,Camden,E05000130,Camden Town with Primrose Hill,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528675,184432,,Camden 019,Camden 019A,,,,,,999,,,Outstanding,North-West London and South-Central England,,5090684,,0,Not applicable,0,Not applicable,,,E02000184,E01000856
