School URN,School Name,Region,Local Authority,School Type
112543,Birk Hill Infant & Nursery School,East Midlands,Derbyshire,Community school
112578,Killamarsh Junior School,East Midlands,Derbyshire,Community school
120548,The Gedney Hill Church of England VC Primary School,East Midlands,Lincolnshire,Voluntary controlled school
136127,Shirebrook Academy,East Midlands,Derbyshire,Academy sponsor led
137072,Hylands School,East of England,Essex,Academy converter
