LA,Ofsted URN,URN
Lincolnshire,EY239703,500085
Lincolnshire,208542,500087
Cheshire West and Chester,EY266867,500092
Lincolnshire,EY403312,501320
Nottinghamshire,EY306144,509283
Bath and North East Somerset,2725426,510589
Lincolnshire,506855,511077
Cambridgeshire,EY433287,512637
Wakefield,EY417372,514985
Wakefield,EY423579,516191
Ealing,2501881,525300
Lambeth,EY104337,531502
Lambeth,EY367789,531510
Tower Hamlets,EY390088,531729
Wandsworth,EY426015,531847
Wandsworth,EY403359,531854
Wandsworth,EY343473,531855
Wandsworth,EY253386,531861
Wandsworth,EY486696,531901
Wandsworth,EY459171,531905
Wandsworth,EY404833,531909
Wandsworth,EY408530,531913
Wandsworth,122968,531921
Wandsworth,EY485134,531923
Wandsworth,EY450320,531932
Barking and Dagenham,EY258558,531980
Bromley,EY320012,532316
Enfield,EY287070,532591
Lincolnshire,208840,533128
Lincolnshire,EY284807,533131
Lincolnshire,203357,533132
Lincolnshire,EY439928,533136
Lincolnshire,EY312363,533139
Lincolnshire,EY362474,533141
Lincolnshire,EY357067,533143
Lincolnshire,209183,533145
Lincolnshire,208688,533148
Lincolnshire,209177,533150
Lincolnshire,260511,533153
Lincolnshire,209168,533154
Lincolnshire,EY347328,533157
Rochdale,EY356841,534567
Rochdale,EY501117,534586
Stockport,EY414752,534710
Stockport,EY364421,534724
Stockport,EY291300,534726
Stockport,EY216498,534727
Stockport,EY376909,534734
Stockport,EY433303,534738
Trafford,EY318936,534818
Wigan,EY308983,534937
Wigan,534949,534949
Barnsley,302718,534961
Barnsley,302799,534964
Barnsley,302681,534965
Barnsley,EY101344,534972
Barnsley,EY102073,534973
Barnsley,302795,534978
Barnsley,EY355509,534979
Barnsley,EY321312,534981
Barnsley,EY258097,534982
Barnsley,EY436001,534989
Wakefield,EY558085,535539
Wakefield,2641681,535544
Wakefield,2651029,535568
Wakefield,EY443701,535575
Wakefield,322002,535578
Wakefield,2615346,535585
Isles Of Scilly,EY293425,535789
Bristol City of,EY350617,535985
Bristol City of,EY298883,535997
Bristol City of,EY308897,536000
Bristol City of,EY397275,536017
Bristol City of,EY221520,536018
South Gloucestershire,136195,536198
South Gloucestershire,136382,536209
South Gloucestershire,136415,536215
South Gloucestershire,136132,536218
South Gloucestershire,EY347827,536237
South Gloucestershire,EY316072,536239
South Gloucestershire,159261,536245
South Gloucestershire,EY428774,536273
South Gloucestershire,EY330515,536275
South Gloucestershire,EY350710,536277
South Gloucestershire,136137,536305
South Gloucestershire,EY428089,536311
South Gloucestershire,136142,536313
North Yorkshire,400630,536785
North Yorkshire,EY335857,536790
North Yorkshire,314304,536796
North Yorkshire,EY363234,536801
North Yorkshire,955624,536803
North Yorkshire,400691,536805
North Yorkshire,400991,536808
North Yorkshire,EY363818,536813
North Yorkshire,EY243498,536815
North Yorkshire,EY290326,536822
North Yorkshire,401265,536826
North Yorkshire,EY391806,536831
North Yorkshire,EY229806,536833
North Yorkshire,EY330641,536834
North Yorkshire,401471,536835
North Yorkshire,401325,536840
North Yorkshire,EY253928,536852
North Yorkshire,401162,536857
North Yorkshire,EY452551,536863
North Yorkshire,EY243432,536866
North Yorkshire,EY343367,536873
North Yorkshire,EY463745,536879
North Yorkshire,400652,536884
North Yorkshire,EY462767,536894
Bedford,EY406530,537102
Bedford,259871,537103
Bedford,EY338224,537104
Milton Keynes,2555188,537413
Milton Keynes,EY454963,537414
Milton Keynes,EY404234,537415
Milton Keynes,EY371557,537420
Milton Keynes,EY387821,537422
Milton Keynes,EY363252,537425
Milton Keynes,EY552053,537426
Milton Keynes,EY472437,537427
Milton Keynes,141709,537428
Milton Keynes,EY406984,537431
Milton Keynes,EY546099,537434
Milton Keynes,EY546281,537436
Milton Keynes,EY539607,537439
Dorset,141084,537790
Dorset,EY304885,537827
Dorset,141049,537838
Dorset,EY365825,537849
Dorset,EY314432,537855
Dorset,154254,537856
Dorset,138714,537868
Dorset,153374,537886
Dorset,EY375347,537888
"Bournemouth, Christchurch and Poole Council",EY397753,537895
Dorset,EY393727,537907
Dorset,EY428766,537909
Dorset,EY313357,537915
Dorset,144249,537916
Dorset,EY446631,537926
Dorset,141044,537935
Dorset,EY408725,537937
Dorset,EY340713,537944
"Bournemouth, Christchurch and Poole Council",EY429345,537945
Dorset,139242,537950
Dorset,EY447826,537951
"Bournemouth, Christchurch and Poole Council",EY396101,537952
Dorset,EY462127,537956
Dorset,EY461699,537957
Portsmouth,143272,539276
Portsmouth,EY431383,539277
Stoke-on-Trent,224610,540009
West Berkshire,EY391733,540568
West Berkshire,EY339243,540579
West Berkshire,EY400867,540581
West Berkshire,EY424598,540591
West Berkshire,EY339022,540593
West Berkshire,EY344689,540596
West Berkshire,117024,540602
West Berkshire,EY433711,540618
Slough,EY467198,540702
Slough,105375,540708
Peterborough,EY100941,541164
Peterborough,257074,541186
Warrington,EY152317,541606
Warrington,EY392518,541620
Warrington,EY395302,541621
Warrington,EY285106,541622
Warrington,2692135,541624
Warrington,EY450033,541626
Warrington,EY467397,541629
Plymouth,117447,542049
Plymouth,EY318586,542094
Plymouth,117364,542096
Plymouth,EY360587,542097
Plymouth,EY311768,542103
Plymouth,EY348943,542122
Plymouth,EY367273,542130
Plymouth,EY370237,542139
Essex,201792,542547
Essex,590227,542548
Essex,EY291826,542550
Essex,202898,542620
Essex,402407,542623
Essex,EY303688,542629
Essex,EY336714,542634
Essex,EY405764,542635
Essex,EY357254,542645
Essex,202165,542655
Essex,EY231869,542664
Essex,590080,542667
Essex,EY308239,542672
Essex,560253,542676
Essex,EY367345,542680
Essex,EY267141,542688
Essex,EY399259,542694
Essex,EY330637,542699
Essex,EY236737,542700
Essex,EY347568,542701
Essex,EY104248,542706
Essex,202500,542709
Essex,EY358760,542711
Essex,202685,542713
Essex,EY357257,542718
Essex,202462,542729
Essex,EY306062,542730
Essex,EY381419,542731
Essex,EY401174,542748
Essex,EY347165,542755
Essex,EY336656,542756
Essex,590239,542757
Essex,EY358376,542775
Essex,202627,542776
Essex,EY401052,542794
Essex,202161,542795
Essex,201747,542797
Essex,EY256994,542812
Essex,506226,542827
Essex,202250,542841
Essex,EY317375,542845
Southend-on-Sea,EY306512,542850
Southend-on-Sea,149123,542851
Essex,EY350176,542856
Essex,506264,542859
Essex,EY337171,542868
Essex,EY395546,542869
Essex,202385,542871
Essex,EY100410,542876
Essex,EY295589,542880
Essex,EY419663,542881
Essex,EY371568,542882
Essex,EY401849,542883
Herefordshire,EY264165,542966
Herefordshire,EY399089,542986
Herefordshire,EY466858,543027
Herefordshire,EY416606,543031
Herefordshire,EY464546,543032
Kent,EY276483,543658
Kent,125567,543669
Kent,126088,543689
Kent,126918,543690
Kent,115731,543691
Kent,126309,543695
Kent,EY263081,543703
Kent,EY272924,543704
Kent,126646,543708
Kent,125290,543724
Kent,101946,543754
Kent,125698,543768
Kent,158915,543793
Kent,151585,543846
Kent,EY358191,543848
Kent,EY260855,543861
Kent,EY284437,543891
Kent,125488,543894
Kent,EY347515,543895
Kent,EY313238,543903
Kent,EY290019,543904
Kent,EY302878,543911
Kent,EY334339,543935
Kent,EY314741,543938
Kent,EY314001,543944
Kent,EY239451,543956
Kent,EY384168,544025
Kent,126843,544031
Kent,EY400063,544038
Kent,126430,544045
Shropshire,EY316932,545056
Cumberland,317197,545540
Westmorland and Furness,317054,545574
Cumberland,EY358842,545597
Norfolk,257990,546806
Norfolk,255988,546812
Norfolk,EY291684,546814
Norfolk,259498,546818
Norfolk,EY269543,546823
Norfolk,256732,546826
Norfolk,EY219328,546834
Norfolk,256546,546837
Norfolk,EY225020,546838
Norfolk,EY299447,546844
Norfolk,256627,546849
Norfolk,EY305283,546851
Norfolk,EY104177,546853
Norfolk,256523,546854
Norfolk,256551,546855
Norfolk,EY291851,546861
Norfolk,EY318235,546862
Norfolk,EY265197,546863
Norfolk,EY252806,546864
Norfolk,EY397903,546869
Norfolk,EY308768,546883
Norfolk,255982,546884
Norfolk,EY219130,546887
Norfolk,EY417796,546904
Norfolk,EY334354,546905
Norfolk,EY300885,546910
Norfolk,EY436743,546918
Norfolk,EY388480,546919
Norfolk,EY268892,546923
Norfolk,EY252227,546931
Norfolk,256415,546935
Norfolk,EY392587,546968
Norfolk,EY403062,546970
Norfolk,EY394214,546971
Norfolk,EY236707,546981
Norfolk,EY357531,546982
Norfolk,EY262722,547010
Norfolk,EY438501,547020
Norfolk,256422,547025
Norfolk,EY277874,547037
North Northamptonshire,EY292023,547043
Norfolk,EY283009,547060
Norfolk,EY296726,547062
Norfolk,256661,547068
Norfolk,EY425277,547072
Norfolk,EY231569,547088
Norfolk,EY393400,547093
Norfolk,EY421138,547097
Norfolk,EY253866,547105
Norfolk,256384,547124
Norfolk,EY459094,547141
Norfolk,EY375776,547146
Norfolk,256675,547147
Norfolk,EY433259,547150
Norfolk,EY433271,547151
Norfolk,EY449077,547153
Norfolk,EY406133,547155
Norfolk,EY338379,547157
Norfolk,EY457569,547168
Norfolk,256257,547169
Norfolk,EY461056,547175
Norfolk,EY410318,547184
Oxfordshire,133560,547502
Oxfordshire,EY338771,547513
Oxfordshire,133543,547514
Oxfordshire,EY363921,547519
Oxfordshire,EY225105,547524
Oxfordshire,EY406186,547528
Oxfordshire,EY391331,547530
Oxfordshire,133929,547532
Oxfordshire,134282,547537
Oxfordshire,SCA170235,547539
Oxfordshire,EY285735,547540
Oxfordshire,EY331317,547545
Oxfordshire,403270,547550
Oxfordshire,EY393805,547556
Oxfordshire,133387,547560
Oxfordshire,134523,547567
Oxfordshire,133565,547568
Oxfordshire,EY407019,547574
Oxfordshire,SCA170231,547575
Oxfordshire,EY441886,547579
Oxfordshire,134287,547591
Oxfordshire,EY423211,547596
Oxfordshire,EY470902,547597
Oxfordshire,EY357233,547600
Oxfordshire,EY333146,547606
Oxfordshire,EY340244,547618
Oxfordshire,EY222976,547619
Oxfordshire,EY439762,547620
Oxfordshire,133949,547633
Oxfordshire,EY303375,547637
Oxfordshire,EY414699,547647
Oxfordshire,133367,547649
Oxfordshire,EY449200,547654
Oxfordshire,EY430501,547655
Oxfordshire,133337,547657
Oxfordshire,EY489109,547663
Oxfordshire,EY375727,547666
Oxfordshire,EY439349,547670
Somerset,EY442257,547782
Somerset,EY296671,547824
Somerset,EY435388,547832
Somerset,EY299572,547833
Somerset,EY414357,547841
Somerset,EY451478,547849
Somerset,EY274279,547851
Somerset,142418,547859
Somerset,141924,547860
Somerset,EY441064,547863
Somerset,EY397741,547864
Somerset,EY343488,547867
Somerset,EY343047,547868
Somerset,EY232046,547877
Somerset,EY244819,547884
Somerset,EY442902,547885
Somerset,EY357759,547886
Somerset,142301,547892
Somerset,EY369391,547905
Somerset,162037,547906
Somerset,EY391002,547909
Somerset,EY291797,547914
Somerset,EY452724,547916
Somerset,142324,547933
Somerset,EY462215,547937
Somerset,EY292495,547940
Somerset,EY428277,547942
Somerset,EY301039,547943
Somerset,EY442202,547954
Somerset,EY459152,547955
Somerset,EY421027,547971
Somerset,EY369732,547972
Somerset,EY482912,547973
Somerset,507126,547979
Warwickshire,201461,548908
Warwickshire,201629,548913
Warwickshire,EY261327,548914
Warwickshire,EY340625,548922
Islington,EY389675,549820
Islington,2530261,549821
Islington,EY333557,549826
Islington,133216,549843
Lewisham,128677,550072
Barking and Dagenham,EY286463,550416
Barking and Dagenham,EY379230,550449
Birmingham,EY231472,551878
Coventry,504787,552107
Coventry,EY250687,552110
Coventry,EY543149,552112
Coventry,2726406,552113
Coventry,510550,552114
Coventry,EY262692,552115
Coventry,EY440764,552116
Coventry,510472,552119
Coventry,EY364664,552120
Coventry,EY379842,552129
Coventry,504774,552132
Coventry,259147,552133
Coventry,EY270706,552134
Coventry,504743,552136
Coventry,EY248437,552138
Coventry,224036,552140
Coventry,EY342573,552142
Coventry,504798,552146
Coventry,EY252879,552148
Coventry,224342,552152
Coventry,EY458320,552154
Coventry,EY284362,552155
Coventry,EY415160,552156
Coventry,EY426845,552158
Coventry,504784,552159
Coventry,EY432097,552163
Coventry,EY248451,552164
Coventry,EY460151,552165
Knowsley,322209,552400
St. Helens,EY269230,552530
St. Helens,EY343561,552536
Sefton,EY358708,552575
Sefton,EY361610,552578
Sefton,310713,552579
Sefton,310672,552581
Sefton,310739,552587
Sefton,310694,552592
Sefton,EY435855,552596
Sefton,EY431018,552600
Sefton,EY433799,552601
Sefton,EY425386,552603
Rochdale,EY503216,553031
Trafford,EY391876,553278
Trafford,EY236199,553279
Trafford,EY446688,553289
Trafford,318415,553290
Trafford,EY331812,553301
Trafford,EY275976,553319
Trafford,EY293565,553321
Rotherham,303197,553496
Bradford,505124,553690
Bradford,EY345256,553692
Bradford,EY346444,553700
Bradford,EY344853,553702
Bradford,EY378955,553707
Bradford,302183,553709
Calderdale,503287,553741
Calderdale,EY302128,553753
Calderdale,EY336468,553757
North Lincolnshire,405082,555045
North Lincolnshire,EY227493,555046
North Lincolnshire,260703,555048
North Lincolnshire,EY360193,555049
York,321396,555338
York,EY277650,555340
York,EY345349,555345
York,EY363716,555346
York,EY355587,555353
York,321197,555365
York,EY347005,555367
York,EY397355,555371
York,EY248548,555373
York,EY350182,555378
York,EY423412,555385
York,EY450417,555387
York,EY446457,555397
York,2758967,555398
York,EY459784,555403
York,EY454370,555404
York,321192,555414
York,321235,555415
York,EY432301,555417
York,EY315767,555423
York,EY444056,555430
York,EY478858,555434
York,EY460455,555439
York,EY405189,555441
York,EY478993,555444
York,EY448749,555446
Milton Keynes,EY345732,555508
Milton Keynes,EY450944,555555
Milton Keynes,EY265498,555572
Milton Keynes,EY302295,555575
Milton Keynes,EY411668,555576
Milton Keynes,EY465699,555579
Milton Keynes,EY218425,555583
Milton Keynes,EY348105,555584
Buckinghamshire,EY361550,555651
Buckinghamshire,EY441250,555658
Buckinghamshire,116653,555659
Buckinghamshire,EY438828,555660
Buckinghamshire,140780,555663
Buckinghamshire,EY235678,555665
Buckinghamshire,EY372577,555671
Buckinghamshire,EY393751,555688
Buckinghamshire,140806,555689
Buckinghamshire,EY395656,555690
"Bournemouth, Christchurch and Poole Council",EY226090,556429
"Bournemouth, Christchurch and Poole Council",505534,556430
"Bournemouth, Christchurch and Poole Council",EY102162,556431
"Bournemouth, Christchurch and Poole Council",144111,556436
"Bournemouth, Christchurch and Poole Council",EY461021,556438
"Bournemouth, Christchurch and Poole Council",EY442445,556440
"Bournemouth, Christchurch and Poole Council",EY369931,556444
"Bournemouth, Christchurch and Poole Council",136609,556445
"Bournemouth, Christchurch and Poole Council",EY244564,556449
"Bournemouth, Christchurch and Poole Council",109680,556453
"Bournemouth, Christchurch and Poole Council",EY136943,556457
"Bournemouth, Christchurch and Poole Council",109723,556463
"Bournemouth, Christchurch and Poole Council",EY304874,556466
"Bournemouth, Christchurch and Poole Council",EY442910,556467
East Sussex,EY275442,556686
East Sussex,505752,556703
East Sussex,EY310945,556760
East Sussex,505737,556786
East Sussex,EY331767,556789
East Sussex,505725,556819
East Sussex,EY274829,556820
Portsmouth,EY363125,557638
Portsmouth,EY417907,557640
Portsmouth,EY430940,557641
Portsmouth,EY348126,557644
Portsmouth,EY379387,557646
Portsmouth,EY380375,557648
Portsmouth,EY331764,557651
Portsmouth,EY405485,557654
Portsmouth,EY439117,557656
Portsmouth,EY374893,557658
Portsmouth,EY345452,557659
Portsmouth,EY314339,557660
Portsmouth,143280,557661
Portsmouth,EY431506,557662
Portsmouth,EY439881,557663
Portsmouth,EY281944,557664
Portsmouth,EY152517,557667
Portsmouth,EY394317,557671
Portsmouth,EY222618,557676
Portsmouth,EY390066,557678
Portsmouth,EY459513,557680
Portsmouth,143242,557682
Portsmouth,EY233163,557685
Portsmouth,EY390919,557690
Portsmouth,EY302642,557694
Portsmouth,EY451661,557698
Portsmouth,EY433450,557700
Portsmouth,EY394682,557708
Portsmouth,143153,557709
Portsmouth,EY243475,557716
Southampton,277149,557730
Leicestershire,EY319726,558007
Leicestershire,225561,558012
Leicestershire,225492,558013
Leicestershire,EY359661,558016
Leicestershire,EY333260,558021
Leicestershire,EY396206,558023
Leicestershire,EY397329,558024
Leicestershire,EY430682,558025
Leicestershire,EY398002,558031
Leicestershire,EY257267,558032
Leicestershire,EY438817,558043
Leicestershire,EY337273,558052
Leicestershire,EY257352,558062
Leicestershire,226610,558066
Leicestershire,EY376351,558068
Leicestershire,EY454726,558074
Leicestershire,225089,558075
Windsor and Maidenhead,EY428312,558936
Slough,105464,559119
Slough,100501,559122
Slough,EY414277,559129
Slough,EY340001,559141
Nottinghamshire,2757297,563196
Nottinghamshire,EY239100,563202
Nottinghamshire,252566,563219
Telford and Wrekin,EY423789,563595
Telford and Wrekin,306771,563597
Telford and Wrekin,EY448889,563598
Telford and Wrekin,EY358409,563601
Telford and Wrekin,208359,563603
Telford and Wrekin,EY465657,563605
Telford and Wrekin,EY461702,563606
Telford and Wrekin,EY465651,563609
Telford and Wrekin,EY425415,563610
Telford and Wrekin,EY376738,563611
Telford and Wrekin,EY397210,563612
Telford and Wrekin,260882,563619
Telford and Wrekin,EY419712,563621
Telford and Wrekin,208459,563624
Telford and Wrekin,EY315791,563626
Telford and Wrekin,EY261306,563629
Telford and Wrekin,2760317,563634
Telford and Wrekin,EY417081,563638
Telford and Wrekin,EY490485,563646
Telford and Wrekin,EY293628,563647
Telford and Wrekin,EY378799,563649
Telford and Wrekin,208303,563658
Telford and Wrekin,EY498832,563662
Telford and Wrekin,EY498196,563663
Telford and Wrekin,EY265988,563664
Telford and Wrekin,EY545198,563670
Telford and Wrekin,EY341424,563673
Telford and Wrekin,EY490761,563677
Telford and Wrekin,2757588,563681
Telford and Wrekin,208463,563685
Hertfordshire,149348,564595
Hertfordshire,EY347591,564620
Hertfordshire,129481,564624
Hertfordshire,129186,564667
Hertfordshire,EY305102,564703
Hertfordshire,EY346213,564704
Isle of Wight,EY369715,564780
West Sussex,114808,567632
West Sussex,999999,567674
West Sussex,155401,567755
West Sussex,EY244248,567766
West Sussex,EY275238,567769
West Sussex,EY392885,567770
West Sussex,EY259306,567772
West Sussex,114685,567773
West Sussex,EY355461,567776
West Sussex,114573,567782
West Sussex,114008,567800
West Sussex,EY219321,567801
West Sussex,EY255358,567805
West Sussex,EY344720,567806
West Sussex,EY428027,567807
West Sussex,EY291587,567812
West Sussex,155427,567820
West Sussex,EY311586,567822
West Sussex,155445,567826
West Sussex,155511,567829
West Sussex,EY333132,567833
West Sussex,EY364583,567837
West Sussex,113953,567850
West Sussex,114759,567853
West Sussex,114989,567860
Birmingham,228287,570262
Birmingham,EY317791,570270
Birmingham,EY304462,570284
Birmingham,550024,570287
Birmingham,504621,570291
Birmingham,227559,570311
Birmingham,227523,570313
Birmingham,EY357218,570333
Birmingham,EY301161,570334
Birmingham,EY309232,570338
Birmingham,EY273136,570375
Birmingham,EY246716,570381
Birmingham,EY308785,570386
Lincolnshire,EY436794,580067
Lincolnshire,134497,580068
Lincolnshire,209288,580071
Wakefield,2672307,582425
Wakefield,2635053,582901
Redbridge,2566736,583068
Rochdale,EY316878,583173
Wakefield,2734042,583663
Wakefield,EY427889,584503
Harrow,2718273,586636
Camden,EY412006,590086
Camden,148715,590098
Camden,EY414251,590105
Camden,EY438120,590112
Camden,EY242490,590130
Camden,EY465519,590132
Camden,EY402102,590137
Camden,EY500826,590160
Camden,EY541497,590168
Camden,EY280290,590197
Camden,EY240694,590218
Camden,2607612,590219
Camden,102042,590336
Camden,EY498671,590338
Camden,EY336511,590441
Camden,2696376,590444
Redbridge,EY309013,597575
Redbridge,EY244077,597590
Redbridge,EY248621,597591
Redbridge,128166,597594
Redbridge,EY449407,597598
Redbridge,EY448241,597606
Redbridge,EY555369,597609
Redbridge,EY332217,597621
Redbridge,EY401760,597631
Redbridge,EY423865,597639
Redbridge,EY222968,597642
Redbridge,EY366495,597644
Redbridge,EY221315,597646
Rutland,EY136990,598063
Sandwell,EY292124,598492
Sandwell,EY290359,598494
Havering,EY250888,598707
Havering,EY258486,598756
North East Lincolnshire,EY256988,598771
Bury,EY364423,598776
Bury,316622,598804
Bury,EY376159,598807
Wakefield,2743176,598928
Walsall,EY342795,598939
Surrey,EY412496,599087
Havering,EY336995,599096
Birmingham,EY355252,599127
Bury,EY290891,599137
Lincolnshire,EY432690,599159
Birmingham,EY320150,599229
Birmingham,257210,599299
Walsall,255502,599364
Walsall,255310,599365
Walsall,EY293244,599368
Walsall,255488,599369
Walsall,EY100770,599379
Walsall,EY271136,599380
Walsall,EY318201,599387
Walsall,EY380494,599389
Birmingham,EY221459,599402
Lincolnshire,257452,599428
Blackburn with Darwen,301576,599559
Blackburn with Darwen,301545,599561
Cheshire West and Chester,304059,599578
Cheshire West and Chester,EY264327,599579
Cheshire West and Chester,304204,599583
Rotherham,EY345169,599916
Kent,EY285524,599947
Kent,EY357976,599950
Kent,EY368154,599956
Kent,EY284851,599959
Kent,126253,599962
Kent,125869,599967
Redbridge,EY493702,600016
Redbridge,EY396191,600018
Camden,EY428855,600020
Greenwich,EY397466,600341
Greenwich,EY384893,600354
Greenwich,EY286180,600356
Greenwich,128797,600365
Greenwich,510811,600367
Greenwich,EY103883,600370
Greenwich,EY430272,600371
Greenwich,EY387440,600382
Greenwich,EY359497,600383
Greenwich,EY338321,600387
Greenwich,EY218619,600406
Greenwich,EY362317,600424
Greenwich,EY437298,600428
Greenwich,EY438616,600431
Greenwich,EY482347,600438
Greenwich,2633316,600447
Greenwich,EY433628,600452
Greenwich,401737,600459
Greenwich,EY470682,600461
Greenwich,EY258051,600465
Greenwich,EY356673,600475
Greenwich,EY441483,600478
Greenwich,EY359570,600479
Greenwich,EY369399,600482
Greenwich,EY362507,600483
Greenwich,EY477618,600484
Greenwich,EY431496,600485
Greenwich,EY551561,600489
Greenwich,EY487892,600491
Greenwich,151465,600497
Greenwich,EY471400,600500
Greenwich,EY475424,600503
Greenwich,2608989,600507
Greenwich,EY480951,600510
Greenwich,EY343184,600516
Greenwich,EY537832,600522
Greenwich,EY461330,600523
Greenwich,EY278923,600534
Greenwich,EY471465,600540
Greenwich,EY486194,600546
Greenwich,EY387956,600549
Greenwich,EY438103,600554
Greenwich,EY497958,600556
Greenwich,EY462643,600559
Greenwich,EY453572,600566
Greenwich,EY282809,600571
Greenwich,EY457073,600579
Greenwich,EY460085,600583
Greenwich,EY554284,600585
Greenwich,EY427271,600586
Greenwich,EY557855,600602
Greenwich,EY495204,600605
Greenwich,401690,600609
Greenwich,EY545787,600612
Greenwich,EY364249,600616
Greenwich,EY458013,600618
Greenwich,EY438365,600628
Greenwich,EY549164,600631
Greenwich,EY438485,600632
Greenwich,2511366,600633
Greenwich,2568517,600635
Greenwich,2589447,600643
Greenwich,2569737,600657
Greenwich,EY549731,600661
Greenwich,510789,600663
Greenwich,2599424,600665
Greenwich,EY543786,600668
Greenwich,2585385,600672
Greenwich,2600999,600673
Greenwich,2616757,600674
Greenwich,EY551526,600679
Greenwich,EY563088,600680
Greenwich,2648086,600681
Greenwich,EY281660,600684
Greenwich,EY563541,600685
Hackney,EY429660,600701
Hackney,EY274661,600707
Hackney,EY337374,600718
Hackney,EY488038,600725
Hackney,EY472892,600731
Hackney,EY440914,600741
Hackney,EY539591,600743
Hackney,EY392302,600745
Hackney,EY540755,600748
Hackney,EY432489,600750
Hackney,EY540257,600768
Hackney,EY542563,600769
Hackney,EY536640,600770
Hackney,EY380648,600775
Hackney,EY562940,600790
Hackney,2560175,600806
Hackney,2594178,600814
Hackney,2584978,600816
Hackney,2580911,600817
Hackney,EY2612709,600822
Hackney,TY1020015,600825
Hackney,EY2632560,600828
Hackney,2561779,600835
Hackney,402855,600844
Hackney,2657260,600845
Hackney,2705337,600846
Hackney,2701485,600847
Hackney,2659717,600848
Hackney,2674380,600849
Hackney,2674103,600858
Hackney,2676455,600860
Hackney,TY0521003,600862
Hammersmith and Fulham,EY365262,601207
Hammersmith and Fulham,EY282190,601209
Hammersmith and Fulham,EY349900,601212
Hammersmith and Fulham,EY246490,601214
Hammersmith and Fulham,EY448971,601217
Hammersmith and Fulham,EY332017,601220
Hammersmith and Fulham,EY486550,601235
Hammersmith and Fulham,EY474371,601247
Hammersmith and Fulham,EY433857,601248
Hammersmith and Fulham,EY497184,601280
Hammersmith and Fulham,2514299,601286
Hammersmith and Fulham,EY559011,601292
Hammersmith and Fulham,EY2595240,601305
Islington,EY426878,601512
Islington,EY466745,601517
Islington,EY102917,601529
Islington,EY102700,601532
Islington,133230,601543
Islington,EY435681,601560
Islington,EY412219,601583
Islington,EY362674,601606
Islington,EY492455,601608
Islington,EY482063,601628
Islington,EY483193,601631
Islington,EY330183,601643
Islington,2515642,601644
Islington,2521349,601649
Islington,EY460561,601652
Islington,2686900,601653
Islington,2556612,601658
Islington,2662130,601670
Islington,2677423,601672
Islington,2723947,601683
Islington,2692209,601684
Islington,2577964,601689
Kensington and Chelsea,EY452954,601850
Lambeth,EY270777,602089
Lambeth,EY448301,602104
Lambeth,EY387352,602117
Lambeth,EY428402,602126
Lambeth,EY468792,602139
Lambeth,EY475301,602143
Lambeth,EY486120,602148
Lambeth,EY405257,602157
Lambeth,EY544575,602196
Lambeth,EY543302,602206
Lambeth,144021,602222
Lambeth,2594157,602232
Lambeth,2522114,602240
Lambeth,EY547396,602251
Lambeth,2574510,602256
Lambeth,EY563572,602261
Lambeth,2652844,602269
Lambeth,EY545518,602274
Lambeth,2691826,602276
Lambeth,2751060,602279
Lewisham,107388,602572
Lewisham,EY349731,602575
Lewisham,EY349734,602576
Lewisham,128761,602608
Lewisham,128684,602609
Lewisham,EY439896,602632
Lewisham,EY101028,602633
Lewisham,128842,602636
Lewisham,EY468536,602647
Lewisham,EY297325,602656
Lewisham,EY260156,602660
Lewisham,EY314485,602663
Lewisham,EY458516,602676
Lewisham,EY473828,602686
Lewisham,EY276956,602688
Lewisham,EY465165,602689
Lewisham,EY473783,602693
Lewisham,EY137264,602701
Lewisham,EY220754,602702
Lewisham,EY336240,602707
Lewisham,EY304014,602712
Lewisham,128651,602721
Lewisham,EY449285,602744
Lewisham,EY476963,602763
Lewisham,EY318455,602777
Lewisham,EY284132,602806
Lewisham,EY396980,602808
Lewisham,EY445032,602814
Lewisham,EY487582,602850
Lewisham,EY540462,602862
Lewisham,EY495265,602884
Lewisham,EY539791,602901
Lewisham,EY498522,602902
Lewisham,EY555514,602916
Lewisham,EY483581,602918
Lewisham,EY559135,602931
Lewisham,EY538690,602937
Lewisham,EY563575,602941
Lewisham,EY361004,602954
Lewisham,2512903,602959
Lewisham,2591567,602983
Lewisham,EY404566,602989
Lewisham,EY254186,602994
Lewisham,2616582,602996
Lewisham,321015,602998
Lewisham,521019,603001
Lewisham,603015,603015
Lewisham,2688639,603027
Lewisham,EY553991,603029
Lewisham,EY557003,603032
Lewisham,2629732,603037
Southwark,EY309474,603051
Southwark,EY221043,603064
Southwark,EY466689,603077
Southwark,EY470391,603094
Southwark,EY221758,603105
Southwark,EY559262,603137
Southwark,EY426366,603142
Southwark,EY491504,603143
Southwark,107249,603161
Southwark,EY301588,603172
Southwark,EY250623,603174
Southwark,EY392185,603197
Southwark,EY374684,603198
Southwark,EY480006,603230
Southwark,2745868,603234
Southwark,2514998,603241
Southwark,EY376695,603245
Southwark,EY559137,603259
Southwark,2703399,603264
Southwark,2558099,603278
Southwark,EY424131,603280
Southwark,EY210123 ,603285
Tower Hamlets,119661,603457
Tower Hamlets,EY445138,603465
Tower Hamlets,EY379832,603468
Tower Hamlets,EY474997,603481
Tower Hamlets,EY402735,603485
Tower Hamlets,EY451533,603496
Tower Hamlets,EY378786,603497
Tower Hamlets,EY492846,603498
Tower Hamlets,EY480270,603504
Tower Hamlets,EY286723,603509
Tower Hamlets,EY476590,603511
Tower Hamlets,EY447535,603533
Tower Hamlets,EY427799,603536
