URN,EstablishmentName,EY_list.Ofsted URN
108665,Boldon Nursery School,
110599,Caverstede Nursery School,
125808,Chichester Nursery School,
102703,Ronald Openshaw Nursery School,
119088,Woodfield Nursery School,
117699,Hornsea Nursery School,
109422,Westfield Nursery School,
122970,Slade Nursery School,
103140,Adderley Nursery School,
109765,Chalvey Nursery School & Early Years Centre,
126562,"The Kingsdown Nursery School, Lincoln",
117069,Birchwood Nursery School,
132799,The Sue Hedley Nursery School,
100769,Dulwich Wood Nursery School,
108746,Houghton Le Spring Nursery School,
100667,Clyde Nursery School.,
126563,The Gainsborough Nursery School,
101861,South Acton Childrens Centre,
113991,Tudhoe Moor Nursery School,
109757,Victoria Park Nursery School & Family Hub,
112090,Frizington Nursery School,
100668,Chelwood Nursery School,
101104,Tachbrook Nursery School,
123962,Hednesford Nursery School,
125810,Boundstone Nursery School,
109419,Rothesay Nursery School,
109755,Hungerford Nursery School Centre for Children,
106018,Reddish Vale Nursery School,
109763,Lea Nursery School,
122983,Wheatley Nursery School,
142678,"Sketchley Hill Menphys Nursery School, Burbage",
120766,King's Lynn Nursery School,
104139,Lane Head Nursery School,
114698,Tanglewood Nursery School,
108750,Hetton Lyons Nursery School,
108904,Redcliffe Childrens Centre and Maintained Nursery School,
108905,The Limes Nursery School,
113051,Ham Drive Nursery School and Day Care,
131232,Pen Green Centre for Children and Their Families,
104845,Crossens Nursery School,
103633,Hillfields Nursery School,
110197,Knowles Nursery School,
121784,Highfield Nursery School,
102700,Edith Kerrison Nursery School,
112088,Cleator Moor Nursery School,
120364,Wyndham Park Nursery School,
109761,Baylis Court Nursery School,
134674,West Exe Nursery School,
112485,Alfreton Nursery School,
101702,Crosfield Nursery School,
110195,Henry Allen Nursery School,
131416,Hedon Nursery School,
133060,Reedley Hallows Nursery School,
113975,Seaham Harbour Nursery School,
109760,Slough Centre Nursery School,
109413,Cherry Trees Nursery School,
109418,Hart Hill Nursery School,
104135,Fullbrook Nursery School,
109750,Caversham Nursery School,
103132,Washwood Heath Nursery School,
117072,Rye Park Nursery School,
100887,Alice Model Nursery School,
112474,Harrington Nursery School,
137796,Selly Oak Nursery School,
104138,Millfields Nursery School,
123348,Oakengates Nursery School,
133731,Guildford Nursery School and Family Centre,
113971,Wingate Community Nursery School,
101704,Purley Nursery School,
105145,The Orchards Nursery School,
103028,Church Hill Nursery School,
121783,Croyland Nursery School & Day Nursery,
124913,The Wharf Nursery School,
109417,Peter Pan Nursery School,
117076,Kingswood Nursery School,
125491,Stockingford Maintained Nursery School,
113989,Rosemary Lane Nursery School,
117078,Tenterfield Nursery School,
106973,Broomhall Nursery School,
102701,Kay Rowe Nursery School,
106021,Freshfield Nursery School,
102705,Sheringham Nursery School & Children's Centre,
133668,Hillview Nursery School,
106828,Aughton Early Years Centre,
124525,Highfield Nursery School,
101705,Tunstall Nursery School,
131724,Selhurst Nursery School and Children's Centre,
113976,Etherley Lane Nursery School,
109756,Maidenhead Nursery School,
103122,Garretts Green Nursery School,
124912,Dorking Nursery School,
101254,St Margaret's Nursery School,
123967,Oaklands Nursery School,
112484,South Normanton Nursery School,
119101,Basnett Street Nursery School,
100097,Rachel McMillan Nursery School and Children's Centre,
108320,Bensham Grove Nursery School,
117077,Oxhey Nursery School,
131151,Camrose Early Years Centre for Children & Families,
112089,Parkview Nursery School,
115830,Haven Early Years Centre,
