Legal accredited name,Operating name
University of Buckingham,University of Buckingham
University of Cambridge,University of Cambridge
University of Chester,University of Chester
University of Chichester,University of Chichester
University of Chichester Academy Trust,Portsmouth Primary SCITT
University of Derby,University of Derby
University of East London,University of East London
University of Exeter,University of Exeter
University of Gloucestershire,University of Gloucestershire
University of Hertfordshire,University of Hertfordshire
University of Huddersfield,University of Huddersfield
University of Leicester,University of Leicester
University of Manchester,University of Manchester
University of Newcastle Upon Tyne,Newcastle University
University of Northampton,University of Northampton
University of Northumbria at Newcastle,University of Northumbria
University of Nottingham,University of Nottingham
University of Oxford,University of Oxford
University of Portsmouth,University of Portsmouth
University of Sheffield,The University of Sheffield
University of Southampton,University of Southampton
University of St Mark and St John,Plymouth Marjon University
University of Sunderland,University of Sunderland
University of Warwick,The University of Warwick
University of Winchester,University of Winchester
University of Wolverhampton,University of Wolverhampton
University of Worcester,University of Worcester
University of York,University of York
Wessex Learning Trust,Mid Somerset Consortium for Teacher Training
Weydon Multi Academy Trust,i2i Teaching Partnership SCITT
Wycombe High School Academies Trust,National Mathematics & Physics SCITT
Xavier Catholic Education Trust,Xavier Teach SouthEast
York St John University,York St John University
