URN,EstablishmentName,EY_list.Ofsted URN,,
104283,Windsor Nursery School,,,
107187,Lilycroft Nursery School,,,
100385,Kate Greenaway Nursery School and Children's Centre,,,
100316,Vanessa Nursery School,,,
134991,Appletree Nursery School,,,
103027,Low Hall Nursery School,,,
119070,Rosegrove Nursery School,,,
112479,Ashgate Nursery School,,,
103134,Highters Heath Nursery School,,,
101489,Curzon Nursery School & Family Wellbeing Centre,,,
126563,The Gainsborough Nursery School,,,
100318,Bayonne Nursery School,,,
113970,Oxhill Nursery School,,,
100386,North Islington Nursery School,,,
131723,Thornton Heath Nursery School,,,
119074,Stoneyholme Nursery School,,,
106016,Lark Hill Nursery School,,,
108893,St Philips Marsh Nursery School and Barton Hill Childrens Centre/Cashmore Early Years Centre,,,
103139,Featherstone Nursery School,,,
106398,Douglas Valley Nursery School,,,
104134,Sandbank Nursery School,,,
103766,Netherton Park Nursery School,,,
119083,Stoneygate Nursery School,,,
130861,Bushy Leaze Early Years Centre,,,
119084,Longshaw Nursery School,,,
119064,Lee Royd Nursery School,,,
102706,Oliver Thomas Nursery School,,,
108895,Little Hayes Nursery School,,,
112472,Central Community Nursery School,,,
108751,Oxclose Nursery School,,,
113973,Oxclose Nursery School,,,
103130,Allens Croft Nursery School,,,
108900,Speedwell Nursery School,,,
104986,Ganneys Meadow Nursery School and Family Centre,,,
136931,King's Hedges Nursery School,,,
103142,Shenley Fields Nursery School,,,
100315,Randolph Beresford Early Years Centre,,,
119071,Ightenhill Nursery School,,,
121782,Ronald Tree Nursery School,,,
119065,Rockwood Nursery School,,,
103136,Jakeman Nursery School,,,
107185,Strong Close Nursery School,,,
119066,Duke Street Nursery School,,,
109423,Pastures Way Nursery School,,,
101705,Tunstall Nursery School,,,
119086,Fairfield Nursery School,,,
105385,Collyhurst Nursery School,,,
113986,Horden Nursery School,,,
103135,Gracelands Nursery School,,,
100098,Pound Park Nursery School,,,
119093,Hillside Nursery School,,,
107190,St Edmund's Nursery School & Children's Centre,,,
110957,Aspiring Foundations Federated Nursery Schools - Ditton Nursery School,,,
113976,Etherley Lane Nursery School,,,
101858,Maples Nursery School and Children's Centre,,,
104137,Valley Nursery School,,,
100554,Holmewood Nursery School,,,
132018,Bilston Nursery School,,,
126562,"The Kingsdown Nursery School, Lincoln",,,
103140,Adderley Nursery School,,,
103129,Kings Norton Nursery School,,,
108750,Hetton Lyons Nursery School,,,
110197,Knowles Nursery School,,,
104507,Abercromby Nursery School,,,
135108,The Nottingham Nursery School and Training Centre,,,
107188,Abbey Green Nursery School,,,
101702,Crosfield Nursery School,,,
100473,St Anne's & Avondale Park Nursery School,,,
114351,Royal Spa Nursery School,,,
113051,Ham Drive Nursery School and Day Care,,,
100769,Dulwich Wood Nursery School,,,
108898,Rosemary Nursery School and Children's Centre,,,
100102,Robert Owen Nursery School,,,
103120,Bordesley Green East Nursery School,,,
120766,King's Lynn Nursery School,,,
109419,Rothesay Nursery School,,,
100099,Abbey Wood Nursery School,,,
102700,Edith Kerrison Nursery School,,,
103125,Highfield Nursery School,,,
119067,Highfield Nursery School,,,
121784,Highfield Nursery School,,,
124525,Highfield Nursery School,,,
123348,Oakengates Nursery School,,,
109421,Chapel Street Nursery School,,,
131724,Selhurst Nursery School and Children's Centre,,,
112475,Walbrook Nursery School,,,
126565,Moorlands Centre Nursery School,,,
132014,The Castle Nursery School,,,
119079,Walton Lane Nursery School,,,
103030,Acacia Nursery,,,
112088,Cleator Moor Nursery School,,,
103124,St Thomas Centre Nursery School,,,
108430,Newburn Manor Nursery School,,,
104140,Alumwell Nursery School,,,
105144,Grosvenor Nursery School and Day Care Centre,,,
114699,Woodcroft Nursery School,,,
109765,Chalvey Nursery School & Early Years Centre,,,
109757,Victoria Park Nursery School & Family Hub,,,
104135,Fullbrook Nursery School,,,
